collision_date,NUM_COLLISIONS
2023-11-05,237
2023-11-06,277
2023-11-07,238
2023-11-08,267
2023-11-09,242
2023-11-10,217
2023-11-11,297
2023-11-12,233
2023-11-13,305
2023-11-14,266
2023-11-15,273
2023-11-16,281
2023-11-17,327
2023-11-18,281
2023-11-19,276
2023-11-20,316
2023-11-21,360
2023-11-22,295
2023-11-23,197
2023-11-24,222
2023-11-25,211
2023-11-26,209
2023-11-27,265
2023-11-28,229
2023-11-29,239
2023-11-30,271
2023-12-01,330
2023-12-02,261
2023-12-03,260
2023-12-04,271
2023-12-05,260
2023-12-06,222
2023-12-07,269
2023-12-08,276
2023-12-09,273
2023-12-10,216
2023-12-11,295
2023-12-12,313
2023-12-13,264
2023-12-14,279
2023-12-15,309
2023-12-16,239
2023-12-17,239
2023-12-18,297
2023-12-19,271
2023-12-20,284
2023-12-21,284
2023-12-22,323
2023-12-23,218
2023-12-24,216
2023-12-25,155
2023-12-26,187
2023-12-27,234
2023-12-28,273
2023-12-29,263
2023-12-30,228
2023-12-31,186
2024-01-01,246
2024-01-02,253
2024-01-03,237
2024-01-04,218
2024-01-05,248
2024-01-06,234
2024-01-07,182
2024-01-08,236
2024-01-09,278
2024-01-10,229
2024-01-11,290
2024-01-12,299
2024-01-13,254
2024-01-14,217
2024-01-15,197
2024-01-16,276
2024-01-17,253
2024-01-18,226
2024-01-19,251
2024-01-20,208
2024-01-21,231
2024-01-22,243
2024-01-23,225
2024-01-24,259
2024-01-25,249
2024-01-26,267
2024-01-27,243
2024-01-28,251
2024-01-29,256
2024-01-30,206
2024-01-31,244
2024-02-01,219
2024-02-02,254
2024-02-03,241
2024-02-04,242
2024-02-05,259
2024-02-06,247
2024-02-07,247
2024-02-08,241
2024-02-09,290
2024-02-10,194
2024-02-11,185
2024-02-12,245
2024-02-13,180
2024-02-14,281
2024-02-15,239
2024-02-16,281
2024-02-17,248
2024-02-18,209
2024-02-19,173
2024-02-20,225
2024-02-21,201
2024-02-22,232
2024-02-23,206
2024-02-24,201
2024-02-25,225
2024-02-26,226
2024-02-27,260
2024-02-28,186
2024-02-29,215
2024-03-01,262
2024-03-02,184
2024-03-03,178
