"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","visib","wdsp","mxpsd","gust","prcp","fog","NUM_COLLISIONS"
"108",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,43,29,9.5,19,27,36.9,0.04,0,252
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,45.1,27.1,10,19.5,25.1,36.9,0,0,357
"110",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,51.1,40.3,9.8,13,18.1,999.9,0,0,301
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,47.9,44.8,7.1,12,25.1,34,0.07,0,273
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,49.9,36.9,10,14,21,32.1,1.02,0,300
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,48.1,33.1,10,11.6,20,25.1,0,0,273
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,50.4,48.8,4.4,5.9,9.9,999.9,0.06,1,324
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,55.9,50,6.9,16.6,22.9,31.1,0.24,1,331
"116",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2021,51.9,38.7,10,16.4,24.1,32.1,0.05,0,318
"117",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,53.5,44.6,10,14.1,20,28.9,0,0,330
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2021,56.3,47.1,9.8,9.1,15.9,999.9,0,0,316
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2021,51.7,50.3,4.3,10,24.1,31.1,0.7,1,345
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2021,48.8,47.2,5.8,7.7,13,999.9,0.02,1,339
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2021,54.3,44.9,10,10.5,17.1,22,0.01,0,339
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2021,51.5,41.4,10,9,17.1,22.9,0,0,319
"123",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2021,48.9,39.5,10,9.5,15.9,999.9,0,0,305
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,51.7,44,10,14.3,18.1,27,0,0,266
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2021,49.8,44.9,8.4,10.4,15,17.1,0.83,0,279
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2021,52.4,44.2,9.6,10.9,20,26,0.75,0,326
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2021,53.1,39.1,10,13.1,19,27,0,0,329
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2021,55.1,42.8,9.9,7.1,13,999.9,0,0,318
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2021,58.9,47.2,10,7.9,11.1,999.9,0,0,321
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,59.1,48.9,10,7.4,12,999.9,0,0,337
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2021,57.5,50.5,10,7.2,13,999.9,0,0,320
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2021,58.3,52.1,9.8,10.5,17.1,24.1,0,0,374
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2021,62.9,48.6,10,10.3,15,22,0,0,347
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,67.6,59,9.4,9.3,22.9,31.1,0,0,330
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2021,57.4,45.3,10,9.5,21,28.9,0,0,322
"136",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2021,55.4,46.9,10,12.4,18.1,999.9,0,0,354
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2021,61.2,58.6,4.8,15,21,999.9,0,1,333
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2021,58,45.8,10,12.2,17.1,24.1,0.02,0,358
"139",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2021,47.5,44.2,6.5,20.2,31.1,42,1.22,0,242
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,49.6,47.9,6,15.3,19,28,0.17,1,256
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2021,57.9,56.1,3.3,8.5,15,999.9,0.81,1,275
"142",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021,59.2,53.2,10,10.3,13,999.9,0.46,0,355
"143",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2021,60.4,54,9.9,9.3,14,999.9,0,0,339
"144",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2021,59.2,57.4,5.4,6,13,999.9,0,1,288
"145",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2021,60.7,59.9,1.6,10.9,15,999.9,0.34,1,331
"146",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2021,61.7,59,4,9.8,15.9,999.9,0.02,1,365
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,70.2,60.2,8.9,9.9,15,999.9,0,0,367
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021,64.5,61.9,0.5,9.8,14,999.9,0,1,355
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2021,68.9,64.6,4.1,7.8,12,999.9,0,1,353
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2021,68.4,53.3,9.5,11.3,19,25.1,0,0,370
"151",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2021,60.2,47.6,10,10.7,18.1,24.1,0,0,343
"152",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2021,62.1,54.9,9.3,6.6,15,999.9,0,0,327
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,63.5,57.4,10,8.3,12,999.9,0.13,0,330
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2021,65.4,58.5,9.3,8.8,14,999.9,0,1,329
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021,68,64.1,4.7,6.9,12,999.9,0,1,369
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2021,67.9,58.6,9.4,9.6,20,999.9,0,0,370
"157",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2021,68.4,62.2,8.9,12.1,15,21,0,0,372
"158",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,69.5,63.9,9.2,10.3,13,999.9,0.01,0,323
"159",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2021,69.1,66.1,3.5,9,13,999.9,0,1,361
"160",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021,70.6,67,4.6,8.6,17.1,24.1,0,1,290
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2021,65.9,56.1,9.8,9.8,15,22.9,0.22,0,353
"162",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2021,70,67.8,2.1,8.8,12,999.9,0.3,1,375
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,70.9,68.6,3,11.1,15,999.9,0,1,333
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021,73.5,68.9,8.1,12.9,17.1,22,0,0,350
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2021,73.5,69.5,7.3,12,18.1,22.9,0,0,361
"166",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,73.9,69.8,7,8.8,13,999.9,0,1,319
"167",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,70.3,66.7,6.8,10,18.1,999.9,0.5,1,333
"168",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,62.3,59.1,5.9,13.2,19,24.1,0.04,0,291
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,62.9,57.6,9,8.6,14,15.9,0.05,0,289
"170",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,63.6,57.7,10,5.5,9.9,999.9,0.14,0,322
"171",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,71.6,66.5,9.3,13.3,17.1,25.1,0,0,326
"172",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,73.7,68.3,8.3,11.5,18.1,24.1,0,0,324
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,72.5,69.9,3,6,11.1,999.9,0,1,305
"174",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,72,68.9,3.7,22.7,33,42.9,0.01,1,346
"175",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,71,68,5.9,7.8,14,999.9,0.04,1,293
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,68.9,63,8.8,6.3,9.9,999.9,0,1,263
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,70.5,67.6,6.5,7.9,15.9,999.9,0,1,303
"178",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,66.3,63.4,6,9.1,13,999.9,0.19,1,298
"179",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,69.1,67.3,1.2,6.4,9.9,999.9,0,1,331
"180",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2021,72.6,70.6,1,6.7,9.9,999.9,0,1,372
"181",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2021,72.9,70.6,1.1,7.5,13,999.9,0,1,350
"182",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2021,74.2,72.1,0.9,7.6,11.1,999.9,0,1,339
"183",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,74.5,71.5,5.7,8.1,14,999.9,0,1,310
"184",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2021,73.8,69.7,6.7,8.1,13,999.9,0,1,328
"185",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2021,74.3,69.2,8.6,6.9,11.1,999.9,0,1,286
"186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2021,74.2,70.7,3.1,6.2,9.9,999.9,0,1,330
