"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","fog","NUM_COLLISIONS"
"197",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,76.7,68.5,0,753
"198",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,73.4,68.5,1,668
"199",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,75.9,64.8,0,550
"200",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,74,68.2,0,705
"201",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,75,71.7,0,666
"202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,74.5,68.8,1,619
"203",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,73.5,59.6,0,630
"204",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,71.2,61.9,0,726
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,69.7,61.1,0,545
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,67,62.1,0,489
"207",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,66.9,60.8,1,611
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,67.9,64.4,0,601
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,71.9,67.4,1,643
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,71.1,65.8,1,714
"211",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,70.4,63.5,0,729
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,71.8,67,1,582
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,74.3,68.8,0,552
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,74.1,70.4,0,592
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,74.5,71,1,623
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,73.9,70.1,1,594
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,73.4,69.4,1,600
"218",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,73.6,70.2,1,753
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,73.9,71.1,1,581
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,73.4,69.9,1,492
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,71.7,69.2,1,575
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,72.8,68.7,0,595
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,73.8,68.1,0,606
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,72.3,60.6,0,614
"225",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,71.4,59.5,0,609
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,70.3,62.5,0,539
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,72.6,66.8,0,563
"228",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,74.8,69.6,0,614
"229",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,74.6,64.7,0,626
"230",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,66,62.6,1,654
"231",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,74.5,70,0,665
"232",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,70.6,65.2,1,643
"233",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,66.8,55.9,0,541
"234",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,66.6,55.9,0,504
"235",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,73,66.9,0,485
"236",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2015,76.4,69.6,0,795
"237",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2015,75.8,71,1,740
"238",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2015,73.8,71.2,1,716
"239",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2015,68.6,65.6,0,765
"240",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2015,67.7,59.2,0,554
"241",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2015,68.2,65,0,478
"242",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2015,67.6,57.8,0,579
